cui,fecha,lugar,costo_directo,cluster_kmeans,cluster_dbscan,cluster_hier,anomalia_if,anomalia_dbscan,score_anomalia,indice_riesgo,nivel_riesgo,silhouette_score
2485016,2024-11-16,CIELOPUNCO,5060372.97,3,-1,0,0,1,0.08558316345358186,0.4010479832865348,Medio,0.41573231427265106
2107851,2025-05-23,YURIMAGUAS - ALTO AMAZONAS - LORETO,7299813.78,0,-1,0,0,1,0.049076555053170046,0.4006690442163239,Medio,0.45373820164691936
75,2024-06-14,HUACHO - HUAURA - LIMA,9586667.39,0,-1,0,0,1,0.04341257056078923,0.4000121607840129,Medio,0.4415343298038864
2512864,2025-11-06,CHINCHA ALTA - CHINCHA -ICA,3667325.8,0,-1,0,0,1,0.04239475182123942,0.39892879364692135,Medio,0.505135602851905
2567753,2025-05-12,PALCAZU - OXAPAMPA - PASCO,9540008.73,3,-1,0,0,1,0.07660783454619918,0.39734577366682694,Medio,0.42476538112527584
33,2024-06-28,AYNA - LA MAR - AYACUCHO,16177695.37,3,-1,0,0,1,0.07980026661244233,0.39694929733457784,Medio,0.4257646258370651
2193638,2024-11-30,ATALAYA,1753860.49,1,-1,0,0,1,0.07081120029619886,0.3957749673865976,Medio,0.4830189525328666
2472382,2025-08-18,CCOLLPACCASA-YAULI,5357103.39,0,-1,0,0,1,0.05543124142503658,0.3957639946205454,Medio,0.4270710578824087
2104863,2024-11-21,CHILCAYOC - SUCRE - AYACUCHO,4244279.8,3,-1,0,0,1,0.0783619948567878,0.39523783469690776,Medio,0.45570158724189663
2543680,2024-03-14,SOCABAYA - AREQUIPA - AREQUIPA,1790745.56,1,-1,0,0,1,0.08589945337955723,0.3945075183827707,Medio,0.42861929562350326
2593141,2025-03-09,INDEPENDENCIA - HUARAZ - ANCASH,4142204.33,1,-1,0,0,1,0.06797189050936003,0.39428455760815556,Medio,0.47344115280133925
2275872,2025-07-02,SOCABAYA - AREQUIPA - AREQUIPA,13510475.82,0,-1,0,0,1,0.05691597747397892,0.39291981086523897,Medio,0.41829108733412995
2690670,2025-05-05,UTCO - CELENDIN - CAJAMARCA,505829.85,3,-1,0,0,1,0.09445885160346612,0.39119786130448175,Medio,0.39001852033583445
2442319,2025-08-14,PURUS - PURUS - UCAYALI,16887082.52,0,-1,0,0,1,0.053930329477090644,0.38950970554472236,Medio,0.43109037477947604
2663505,2024-10-10,AYNA - LA MAR - AYACUCHO,1224463.23,1,-1,0,0,1,0.07259414188244706,0.3890763887769433,Medio,0.4934094660935684
